lon,lat,common_name,number_found,observation_date,county
-73.8332383,40.840575,Spotted Lanternfly,1.0,31-Oct-2021,Bronx
-73.9024827,40.7734594,Spotted Lanternfly,1.0,02-Nov-2021,Queens
-73.9618533,40.6928167,Spotted Lanternfly,1.0,05-Sep-2021,Kings
-73.9429416,40.7755174,Spotted Lanternfly,1.0,05-Sep-2021,New York
-74.1078771,40.6335617,Spotted Lanternfly,1.0,05-Sep-2021,Richmond
-73.9110168,40.6975015,Spotted Lanternfly,1.0,04-Sep-2021,Kings
-73.9888641,40.7768779,Spotted Lanternfly,1.0,04-Sep-2021,New York
-73.9987687,40.652992,Spotted Lanternfly,1.0,04-Sep-2021,Kings
-73.9988261,40.6530077,Spotted Lanternfly,1.0,04-Sep-2021,Kings
-73.9131041,40.7537856,Spotted Lanternfly,1.0,03-Sep-2021,Queens
-73.9576797,40.7962151,Spotted Lanternfly,1.0,04-Sep-2021,New York
-74.0137191,40.7031591,Spotted Lanternfly,1.0,04-Sep-2021,New York
-74.123295,40.579986,Spotted Lanternfly,1.0,04-Sep-2021,Richmond
-73.7785825,40.7964248,Spotted Lanternfly,1.0,04-Sep-2021,Queens
-73.97018,40.7534128,Spotted Lanternfly,1.0,02-Sep-2021,New York
-73.9835007,40.7255812,Spotted Lanternfly,1.0,07-Jun-2022,New York
-73.8995803,40.5581238,Spotted Lanternfly,1.0,03-Sep-2021,Queens
-73.9391653,40.749731,Spotted Lanternfly,1.0,03-Sep-2021,Queens
-73.9361002,40.8570262,Spotted Lanternfly,1.0,03-Sep-2021,New York
-73.9873967,40.695045,Spotted Lanternfly,1.0,03-Sep-2021,Kings
-74.0152778,40.6927778,Spotted Lanternfly,1.0,03-Sep-2021,New York
-73.8718806,40.6419987,Spotted Lanternfly,1.0,03-Sep-2021,Kings
-74.0115635,40.7037951,Spotted Lanternfly,1.0,06-Sep-2021,New York
-73.9919354,40.6680288,Spotted Lanternfly,2.0,14-Jun-2022,Kings
-74.1613833,40.5474806,Spotted Lanternfly,1.0,02-Sep-2021,Richmond
-73.9216411,40.8575501,Spotted Lanternfly,1.0,01-Sep-2021,New York
-73.9959815,40.657167,Spotted Lanternfly,1.0,02-Sep-2021,Kings
-74.1360747,40.5303245,Spotted Lanternfly,1.0,02-Sep-2021,Richmond
-73.8722438,40.8749239,Spotted Lanternfly,1.0,20-Jun-2022,Bronx
-73.97278,40.7753699,Spotted Lanternfly,1.0,29-Jul-2022,New York
-73.9628617,40.6483033,Spotted Lanternfly,1.0,01-Sep-2021,Kings
-73.9650454,40.6609243,Spotted Lanternfly,1.0,01-Sep-2021,Kings
-73.8677903,40.8567145,Spotted Lanternfly,1.0,01-Sep-2021,Bronx
-74.0126911,40.7024306,Spotted Lanternfly,1.0,31-Aug-2021,New York
-73.8950225,40.8370258,Spotted Lanternfly,1.0,30-Aug-2021,Bronx
-74.0159528,40.7170367,Spotted Lanternfly,1.0,31-Aug-2021,New York
-73.9462641,40.773046,Spotted Lanternfly,1.0,31-Aug-2021,New York
-73.994721,40.743633,Spotted Lanternfly,1.0,31-Aug-2021,New York
-73.9571975,40.7660589,Spotted Lanternfly,1.0,31-Aug-2021,New York
-74.1562919,40.5543229,Spotted Lanternfly,1.0,29-Aug-2021,Richmond
-74.2105956,40.5334004,Spotted Lanternfly,1.0,31-Aug-2021,Richmond
-73.9514905,40.7780277,Spotted Lanternfly,1.0,28-Aug-2021,New York
-73.9474266,40.7803394,Spotted Lanternfly,1.0,27-Aug-2021,New York
-73.9908571,40.5713143,Spotted Lanternfly,1.0,31-Aug-2021,Kings
-73.964138,40.777622,Spotted Lanternfly,1.0,30-Aug-2021,New York
-74.0097778,40.7140778,Spotted Lanternfly,1.0,30-Aug-2021,New York
-73.9514483,40.7779657,Spotted Lanternfly,1.0,28-Aug-2021,New York
-73.8791194,40.8888028,Spotted Lanternfly,1.0,11-Feb-2022,Bronx
-73.9474845,40.780361,Spotted Lanternfly,1.0,27-Aug-2021,New York
-73.8474176,40.7491118,Spotted Lanternfly,1.0,30-Aug-2021,Queens
-73.9546367,40.81517,Spotted Lanternfly,1.0,30-Aug-2021,New York
-73.990311,40.7353807,Spotted Lanternfly,1.0,30-Aug-2021,New York
-73.9418369,40.6812428,Spotted Lanternfly,1.0,30-Aug-2021,Kings
-74.2537361,40.5034139,Spotted Lanternfly,1.0,28-Aug-2021,Richmond
-74.015053,40.7105248,Spotted Lanternfly,1.0,29-Aug-2021,New York
-73.9438167,40.72525,Spotted Lanternfly,1.0,29-Aug-2021,Kings
-74.0066263,40.7050712,Spotted Lanternfly,1.0,28-Aug-2021,New York
-74.0158371,40.6909388,Spotted Lanternfly,1.0,28-Aug-2021,New York
-74.2348294,40.5039121,Spotted Lanternfly,1.0,29-Aug-2021,Richmond
-73.996666,40.6962471,Spotted Lanternfly,1.0,29-Aug-2021,Kings
-73.8414578,40.6517254,Spotted Lanternfly,1.0,29-Aug-2021,Queens
-74.0134081,40.7022984,Spotted Lanternfly,1.0,29-Aug-2021,New York
-74.0207596,40.6873169,Spotted Lanternfly,1.0,29-Aug-2021,New York
-73.8850259,40.753695,Spotted Lanternfly,1.0,29-Aug-2021,Queens
-74.1507034,40.6244087,Spotted Lanternfly,1.0,29-Aug-2021,Richmond
-73.995705,40.6495333,Spotted Lanternfly,1.0,29-Aug-2021,Kings
-74.0043195,40.647945,Spotted Lanternfly,1.0,28-Aug-2021,Kings
-73.9920546,40.7448469,Spotted Lanternfly,1.0,28-Aug-2021,New York
-74.0159453,40.7019201,Spotted Lanternfly,1.0,28-Aug-2021,New York
-74.0128333,40.7019417,Spotted Lanternfly,1.0,27-Aug-2021,New York
-73.9908833,40.7565633,Spotted Lanternfly,1.0,27-Aug-2021,New York
-74.0118685,40.729662,Spotted Lanternfly,1.0,27-Aug-2021,New York
-74.0170972,40.7067633,Spotted Lanternfly,1.0,27-Aug-2021,New York
-73.9637604,40.7210158,Spotted Lanternfly,1.0,27-Aug-2021,Kings
-74.1745,40.5219083,Spotted Lanternfly,1.0,26-Aug-2021,Richmond
-74.0131302,40.7163582,Spotted Lanternfly,1.0,27-Aug-2021,New York
-73.9689845,40.7807023,Spotted Lanternfly,1.0,27-Aug-2021,New York
-73.8115769,40.5840238,Spotted Lanternfly,1.0,27-Aug-2021,Queens
-73.9777457,40.7836887,Spotted Lanternfly,1.0,27-Aug-2021,New York
-73.9729292,40.7791483,Spotted Lanternfly,1.0,26-Aug-2021,New York
-74.0157306,40.7130867,Spotted Lanternfly,1.0,26-Aug-2021,New York
-73.9497383,40.8356083,Spotted Lanternfly,1.0,25-Aug-2021,New York
-73.9498883,40.8349583,Spotted Lanternfly,1.0,25-Aug-2021,New York
-73.9729,40.7791117,Spotted Lanternfly,1.0,26-Aug-2021,New York
-73.972795,40.7791117,Spotted Lanternfly,1.0,26-Aug-2021,New York
-73.972825,40.7791117,Spotted Lanternfly,1.0,26-Aug-2021,New York
-73.9748467,40.7762533,Spotted Lanternfly,1.0,26-Aug-2021,New York
-73.974695,40.7763583,Spotted Lanternfly,1.0,26-Aug-2021,New York
-73.9676068,40.7631541,Spotted Lanternfly,1.0,15-Aug-2021,New York
-73.9836915,40.6880947,Spotted Lanternfly,1.0,26-Aug-2021,Kings
-74.2258,40.50735,Spotted Lanternfly,1.0,20-Jun-2021,Richmond
-74.0168042,40.7176627,Spotted Lanternfly,1.0,04-Mar-2022,New York
-73.9617426,40.7953172,Spotted Lanternfly,1.0,08-Sep-2020,New York
-74.0145482,40.7132041,Spotted Lanternfly,1.0,08-Sep-2020,New York
-74.0115026,40.7110592,Spotted Lanternfly,1.0,06-Sep-2020,New York
-74.0115321,40.7107509,Spotted Lanternfly,1.0,06-Sep-2020,New York
-74.0122369,40.7108831,Spotted Lanternfly,1.0,08-Sep-2020,New York
-74.0112686,40.7103887,Spotted Lanternfly,1.0,05-Sep-2020,New York
-74.2164572,40.5089968,Spotted Lanternfly,1.0,15-Jul-2020,Richmond
-74.2277131,40.5034535,Spotted Lanternfly,1.0,10-Aug-2020,Richmond
-73.98168,40.66895,Spotted Lanternfly,1.0,22-May-2022,Kings
-73.9377283,40.7520717,Spotted Lanternfly,1.0,21-May-2022,Queens
-73.9680615,40.6427466,Spotted Lanternfly,1.0,18-May-2022,Kings
-73.9680548,40.6426988,Spotted Lanternfly,1.0,18-May-2022,Kings
