lon,lat,observation_date,county,Spotted Lanternfly
-73.994721,40.743633,31-Aug-2021,New York,1
-73.9571975,40.7660589,31-Aug-2021,New York,1
-74.1562919,40.5543229,29-Aug-2021,Richmond,1
-74.2105956,40.5334004,31-Aug-2021,Richmond,1
-73.9514905,40.7780277,28-Aug-2021,New York,1
-73.9474266,40.7803394,27-Aug-2021,New York,1
-73.9908571,40.5713143,31-Aug-2021,Kings,1
-73.964138,40.777622,30-Aug-2021,New York,1
-74.0097778,40.7140778,30-Aug-2021,New York,1
-73.9514483,40.7779657,28-Aug-2021,New York,1
-73.8791194,40.8888028,11-Feb-2022,Bronx,1
-73.9474845,40.780361,27-Aug-2021,New York,1
-73.8474176,40.7491118,30-Aug-2021,Queens,1
-73.9546367,40.81517,30-Aug-2021,New York,1
-73.990311,40.7353807,30-Aug-2021,New York,1
-73.9418369,40.6812428,30-Aug-2021,Kings,1
-74.2537361,40.5034139,28-Aug-2021,Richmond,1
-74.015053,40.7105248,29-Aug-2021,New York,1
-73.9438167,40.72525,29-Aug-2021,Kings,1
-74.0066263,40.7050712,28-Aug-2021,New York,1
-74.0158371,40.6909388,28-Aug-2021,New York,1
-74.2348294,40.5039121,29-Aug-2021,Richmond,1
-73.996666,40.6962471,29-Aug-2021,Kings,1
-73.8414578,40.6517254,29-Aug-2021,Queens,1
-74.0134081,40.7022984,29-Aug-2021,New York,1
-74.0207596,40.6873169,29-Aug-2021,New York,1
-73.8850259,40.753695,29-Aug-2021,Queens,1
-74.1507034,40.6244087,29-Aug-2021,Richmond,1
-73.995705,40.6495333,29-Aug-2021,Kings,1
-74.0043195,40.647945,28-Aug-2021,Kings,1
-73.9920546,40.7448469,28-Aug-2021,New York,1
-74.0159453,40.7019201,28-Aug-2021,New York,1
-74.0128333,40.7019417,27-Aug-2021,New York,1
-73.9908833,40.7565633,27-Aug-2021,New York,1
-74.0118685,40.729662,27-Aug-2021,New York,1
-74.0170972,40.7067633,27-Aug-2021,New York,1
-73.9637604,40.7210158,27-Aug-2021,Kings,1
-74.1745,40.5219083,26-Aug-2021,Richmond,1
-74.0131302,40.7163582,27-Aug-2021,New York,1
-73.9689845,40.7807023,27-Aug-2021,New York,1
-73.8115769,40.5840238,27-Aug-2021,Queens,1
-73.9777457,40.7836887,27-Aug-2021,New York,1
-73.9729292,40.7791483,26-Aug-2021,New York,1
-74.0157306,40.7130867,26-Aug-2021,New York,1
-73.9497383,40.8356083,25-Aug-2021,New York,1
-73.9498883,40.8349583,25-Aug-2021,New York,1
-73.9729,40.7791117,26-Aug-2021,New York,1
-73.972795,40.7791117,26-Aug-2021,New York,1
-73.972825,40.7791117,26-Aug-2021,New York,1
-73.9748467,40.7762533,26-Aug-2021,New York,1
-73.974695,40.7763583,26-Aug-2021,New York,1
-73.9676068,40.7631541,15-Aug-2021,New York,1
-73.9836915,40.6880947,26-Aug-2021,Kings,1
-74.2258,40.50735,20-Jun-2021,Richmond,1
-74.0168042,40.7176627,04-Mar-2022,New York,1
-73.9617426,40.7953172,08-Sep-2020,New York,1
-74.0145482,40.7132041,08-Sep-2020,New York,1
-74.0115026,40.7110592,06-Sep-2020,New York,1
-74.0115321,40.7107509,06-Sep-2020,New York,1
-74.0122369,40.7108831,08-Sep-2020,New York,1
-74.0112686,40.7103887,05-Sep-2020,New York,1
-74.2164572,40.5089968,15-Jul-2020,Richmond,1
-74.2277131,40.5034535,10-Aug-2020,Richmond,1
-73.98168,40.66895,22-May-2022,Kings,1
-73.9377283,40.7520717,21-May-2022,Queens,1
-73.9680615,40.6427466,18-May-2022,Kings,1
-73.9680548,40.6426988,18-May-2022,Kings,1
-73.9680562,40.6427006,18-May-2022,Kings,1
-73.9680676,40.6427222,18-May-2022,Kings,1
-73.9680693,40.6427212,18-May-2022,Kings,1
-73.9680666,40.6427392,18-May-2022,Kings,1
-73.9680689,40.6427509,18-May-2022,Kings,1
-74.2364877,40.5392596,18-May-2022,Richmond,1
-73.953732,40.8097281,22-May-2022,New York,1
-73.9745675,40.776313,23-May-2022,New York,1
-73.9685418,40.7813877,23-May-2022,New York,1
-74.104525,40.6438944,23-May-2022,Richmond,1
-74.0209304,40.6535063,23-May-2022,Kings,1
-73.810818,40.7100581,27-Sep-2022,Queens,1
-73.9491328,40.7439211,26-Oct-2022,Queens,1
-73.9492962,40.833646,26-Oct-2022,New York,1
-73.790988,40.8539084,27-Oct-2022,Bronx,1
