"x","y","scientific_name","common_name","observation_date","number_found","observer","organization_name","confirmed_ind","species_id_method_name_array","species_verified_by_name","follow_up_name","evaluation_type_name","has_photo_ind","confidential_ind","source_unique_id","source_record_url","imap_url","imap_id","species_type","growth_habit","jurisdiction","county","regional_management_partnership","waterbody","bulk_upload_id","bulk_upload_name","uuid","jurisdiction_species_id","projects","project_ids","approximate_ind","approximate_to"
"-73.8481903","41.1009648","Adelges tsugae","Hemlock Woolly Adelgid","10-Mar-2021","","Devyani Mishra","","true","Photo ID","Caroline Marschner","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1138720.html","1138720","Animal","Plant Pest","New York","Westchester","Lower Hudson","","","","16c7c50e-bf59-4f2e-b86e-6671df2d7f46","1281","","","false",""
"-73.8468852","41.1051044","Adelges tsugae","Hemlock Woolly Adelgid","10-Mar-2021","","Devyani Mishra","","true","Photo ID","Caroline Marschner","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1138721.html","1138721","Animal","Plant Pest","New York","Westchester","Lower Hudson","","","","260a81a4-b3ce-411a-b7d2-ea58a4b01c25","1281","","","false",""
"-73.3541700","40.8802600","Lymantria dispar","Spongy Moth","22-Jul-2013","","Julie Sullivan","Long Island Invasive Species Management Area (LIISMA)","true","","","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/336395.html","336395","Animal","Plant Pest","New York","Suffolk","LIISMA","","","","","1320","","","false",""
"-73.9767402","41.0593573","Popillia japonica","Japanese Beetle","11-Jul-2021","4","Ronald Lindahl","","true","Photo ID","Jennifer Dean - Admin","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1150293.html","1150293","Animal","Plant Pest","New York","Rockland","Lower Hudson","","","","a8663487-2290-4128-a2a6-04594a86a7b9","1512","","","false",""
"-73.8659000","41.0963890","Halyomorpha halys","Brown Marmorated Stink Bug","11-Nov-2011","","Peter Jentsch","Cornell University (NY)","true","ID by expert","","","","false","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/332743.html","332743","Animal","Plant Pest","New York","Westchester","Lower Hudson","","","","","1304","The NYS Brown Marmorated Stink Bug Survey","241","false",""
"-74.1175140","41.0993930","Halyomorpha halys","Brown Marmorated Stink Bug","22-Mar-2011","","Peter Jentsch","Cornell University (NY)","true","ID by expert","","","","false","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/332215.html","332215","Animal","Plant Pest","New York","Rockland","Lower Hudson","","","","","1304","The NYS Brown Marmorated Stink Bug Survey","241","false",""
"-73.5403350","40.6549140","Halyomorpha halys","Brown Marmorated Stink Bug","02-Feb-2012","","Peter Jentsch","Cornell University (NY)","true","ID by expert","","","","false","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/332084.html","332084","Animal","Plant Pest","New York","Nassau","LIISMA","","","","","1304","The NYS Brown Marmorated Stink Bug Survey","241","false",""
"-73.9729617","40.7790633","Lycorma delicatula","Spotted Lanternfly","01-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96831338","https://www.inaturalist.org/observations/96831338","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167028.html","1167028","Animal","Plant Pest","New York","New York","Lower Hudson","","","","6ca470f0-1a7f-4fd7-a85b-c417a22397dc","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9729217","40.7791133","Lycorma delicatula","Spotted Lanternfly","01-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","","","","true","false","96831635","https://www.inaturalist.org/observations/96831635","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167029.html","1167029","Animal","Plant Pest","New York","New York","Lower Hudson","","","","0ad54cd1-18c6-40b8-a3cd-d251620d3886","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9730133","40.7790750","Lycorma delicatula","Spotted Lanternfly","01-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96831692","https://www.inaturalist.org/observations/96831692","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167030.html","1167030","Animal","Plant Pest","New York","New York","Lower Hudson","","","","97356b85-7aad-4cf2-b278-e1f1ffefa514","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
