Search type: State

Dicot

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,
ACNO,,Achillea nobilis L.,noble yarrow
ACPT,,Achillea ptarmica L.,sneezeweed
ACINO,,Acinos Mill.,acinos
ACAR2,SAAC,Satureja acinos (L.) Scheele,
ACAR2,ACTH3,Acinos thymoides (L.) Moench,
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,
ACONI,,Aconitum L.,monkshood
ACNA,,Aconitum napellus L.,Venus' chariot
ACNO2,,Aconitum noveboracense A. Gray ex Coville,northern blue monkshood
ACNO2,ACNOQ,Aconitum noveboracense A. Gray ex Coville var. quasiciliatum Fassett,
ACNO2,ACUNN,Aconitum uncinatum L. ssp. noveboracense (A. Gray ex Coville) Hardin,
ACTAE,,Actaea L.,baneberry
ACLU,,Actaea ×ludovici B. Boivin [pachypoda × rubra],baneberry
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,
ACPA,,Actaea pachypoda Elliott,white baneberry
ACRA7,,Actaea racemosa L.,black baneberry
ACRAR,,Actaea racemosa L. var. racemosa,black bugbane
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,
ACRU2,,Actaea rubra (Aiton) Willd.,red baneberry
ACRUR2,,Actaea rubra (Aiton) Willd. ssp. rubra,red baneberry
ACRUR2,ACSPR3,Actaea spicata L. ssp. rubra (Aiton) Hultén,
ACRUR2,ACRUR3,Actaea rubra (Aiton) Willd. var. rubra,
ACTIN3,,Actinidia Lindl.,actinidia
ACAR10,,Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,tara vine
ACPO9,,Actinidia polygama (Siebold & Zucc.) Maxim.,silver vine
ADLUM,,Adlumia Raf. ex DC.,adlumia
ADFU,,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine
ADONI,,Adonis L.,pheasant's eye
ADAE,,Adonis aestivalis L.,summer pheasant's eye
ADAE,ADAEC,Adonis aestivalis L. var. citrina Hoffm.,
ADVE,,Adonis vernalis L.,spring pheasant's eye
ADVE,CHVE13,Chrysocyathus vernalis (L.) Holub,
ADOXA,,Adoxa L.,adoxa
ADMO,,Adoxa moschatellina L.,muskroot
AEGOP,,Aegopodium L.,goutweed
AEPO,AEPOV,Aegopodium podagraria L. var. variegatum L.H. Bailey,
AEPO,,Aegopodium podagraria L.,bishop's goutweed
AESCU,,Aesculus L.,buckeye
AEFL,,Aesculus flava Aiton,yellow buckeye
AEFL,AEOCV2,Aesculus octandra Marshall var. virginica Sarg.,
AEFL,AEOC2,Aesculus octandra Marshall,
AEFL,AEOCV,Aesculus octandra Marshall var. vestita Sarg.,
AEGL,,Aesculus glabra Willd.,Ohio buckeye
AEGLG,AEGLM,Aesculus glabra Willd. var. micrantha Sarg.,
AEGLG,,Aesculus glabra Willd. var. glabra,Ohio buckeye
AEGLG,AEGLM2,Aesculus glabra Willd. var. monticola Sarg.,
AEGLG,AEGLP,Aesculus glabra Willd. var. pallida (Willd.) G. Kirchn.,
AEGLG,AEGLL,Aesculus glabra Willd. var. leucodermis Sarg.,
AEGLG,AEGLS,Aesculus glabra Willd. var. sargentii Rehder,
AEHI,,Aesculus hippocastanum L.,horse chestnut
AEPA2,,Aesculus parviflora Walter,bottlebrush buckeye
AETHU,,Aethusa L.,aethusa
AECY2,,Aethusa cynapium L.,fool's parsley
AGALI,,Agalinis Raf.,false foxglove
AGAC,,Agalinis acuta Pennell,sandplain false foxglove
AGAC,GEAC3,Gerardia acuta (Pennell) Pennell,
AGFA2,GEPUR,Gerardia purpurea L. var. racemulosa (Pennell) Gleason,
AGFA2,AGGE,Agalinis georgiana (C.L. Boynt.) Pennell,
AGFA2,GEFAP,Gerardia fasciculata Elliott ssp. peninsularis (Pennell) Pennell,
AGFA2,,Agalinis fasciculata (Elliott) Raf.,beach false foxglove
AGFA2,GERA6,Gerardia racemulosa Pennell,
AGFA2,AGPUR,Agalinis purpurea (L.) Pennell var. racemulosa (Pennell) B. Boivin,
AGFA2,GEGE2,Gerardia georgiana C.L. Boynt.,
AGFA2,AGFAP,Agalinis fasciculata (Elliott) Raf. var. peninsularis Pennell,
AGFA2,GEFA2,Gerardia fasciculata Elliott,
AGFA2,AGVI4,Agalinis virgata Raf.,
AGMA3,,Agalinis maritima (Raf.) Raf.,saltmarsh false foxglove
AGMAM,GEMA8,Gerardia maritima Raf.,
AGMAM,,Agalinis maritima (Raf.) Raf. var. maritima,saltmarsh false foxglove
AGPA12,,Agalinis paupercula (A. Gray) Britton,smallflower false foxglove
AGPAB,,Agalinis paupercula (A. Gray) Britton var. borealis Pennell,smallflower false foxglove
AGPAB,AGPUP,Agalinis purpurea (L.) Pennell var. parviflora (Benth.) B. Boivin,
AGPAB,GEPAB,Gerardia paupercula (A. Gray) Britton ssp. borealis (Pennell) Pennell,
AGPAB,GEPAB2,Gerardia paupercula (A. Gray) Britton var. borealis (Pennell) Deam,
AGPAB,GEPUP4,Gerardia purpurea L. var. parviflora Benth.,
AGPAP3,GEPA8,Gerardia paupercula (A. Gray) Britton,
AGPAP3,GEPAT,Gerardia paupercula (A. Gray) Britton var. typica Pennell,
AGPAP3,,Agalinis paupercula (A. Gray) Britton var. paupercula,smallflower false foxglove
